timestamp,usuario,ip,estado,hora,puerto,pais
2026-05-21 02:10:22,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 02:10:25,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 02:10:28,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 02:10:31,admin1,45.33.22.1,fallo,2,22,rusia
2026-05-21 08:15:00,admin1,10.0.0.1,exito,8,443,local
2026-05-21 09:30:00,usuario1,192.168.1.10,exito,9,80,local
2026-05-21 10:00:00,usuario1,192.168.1.10,exito,10,443,local
2026-05-21 11:00:00,usuario2,10.0.0.5,exito,11,22,local
2026-05-21 12:00:00,usuario2,10.0.0.5,fallo,12,22,local
2026-05-21 13:00:00,usuario2,10.0.0.5,exito,13,443,local
2026-05-21 14:00:00,admin1,192.168.1.100,exito,14,443,local
2026-05-21 22:30:00,admin1,45.33.22.1,exito,22,443,rusia
2026-05-21 23:00:00,admin1,45.33.22.1,exito,23,22,rusia
2026-05-21 03:00:00,admin2,89.40.185.1,fallo,3,3306,china
2026-05-21 03:05:00,admin2,89.40.185.1,fallo,3,3306,china
2026-05-21 03:10:00,admin2,89.40.185.1,fallo,3,3306,china
2026-05-21 03:15:00,admin2,89.40.185.1,fallo,3,3306,china
2026-05-21 03:20:00,admin2,89.40.185.1,fallo,3,3306,china
2026-05-21 08:00:00,usuario3,10.0.0.20,exito,8,80,local
2026-05-21 08:30:00,usuario3,10.0.0.20,exito,8,443,local
2026-05-21 09:00:00,usuario3,10.0.0.21,exito,9,443,local
2026-05-21 09:30:00,usuario3,10.0.0.22,exito,9,80,local
2026-05-21 10:00:00,usuario3,10.0.0.23,exito,10,443,local
2026-05-21 10:30:00,usuario3,10.0.0.24,exito,10,443,local
2026-05-21 11:00:00,invitado,45.33.44.5,fallo,11,3389,rusia
2026-05-21 11:05:00,invitado,45.33.44.5,fallo,11,3389,rusia
2026-05-21 11:10:00,invitado,45.33.44.5,fallo,11,3389,rusia
2026-05-21 11:15:00,invitado,45.33.44.5,fallo,11,3389,rusia
2026-05-21 11:20:00,invitado,45.33.44.5,fallo,11,3389,rusia
2026-05-21 15:00:00,admin1,10.0.0.1,exito,15,443,local
2026-05-21 16:00:00,admin2,10.0.0.2,exito,16,443,local
2026-05-21 17:00:00,admin1,10.0.0.1,exito,17,443,local
2026-05-21 18:00:00,admin2,10.0.0.2,exito,18,443,local
2026-05-21 19:00:00,admin1,10.0.0.1,exito,19,443,local
2026-05-21 20:00:00,admin2,10.0.0.2,exito,20,443,local
2026-05-21 21:00:00,admin1,10.0.0.1,exito,21,443,local
2026-05-21 22:00:00,admin2,10.0.0.2,exito,22,443,local
2026-05-21 04:00:00,root,177.54.22.8,fallo,4,22,brasil
2026-05-21 04:05:00,root,177.54.22.8,fallo,4,22,brasil
2026-05-21 04:10:00,root,177.54.22.9,fallo,4,22,brasil
2026-05-21 04:15:00,root,177.54.22.8,fallo,4,22,brasil
2026-05-21 04:20:00,root,177.54.22.9,fallo,4,22,brasil
2026-05-21 04:25:00,root,177.54.22.8,fallo,4,22,brasil
2026-05-21 05:00:00,invitado,45.33.44.5,exito,5,80,rusia
2026-05-21 06:00:00,invitado,45.33.44.5,exito,6,443,rusia
2026-05-21 07:00:00,invitado,45.33.44.5,exito,7,80,rusia
2026-05-21 08:00:00,usuario4,10.0.0.30,exito,8,443,local
2026-05-21 09:00:00,usuario4,10.0.0.30,exito,9,443,local
2026-05-21 10:00:00,usuario5,10.0.0.40,exito,10,443,local
2026-05-21 11:00:00,usuario5,10.0.0.40,exito,11,80,local
2026-05-21 12:00:00,usuario5,10.0.0.40,exito,12,443,local
2026-05-21 13:00:00,admin3,10.0.0.50,exito,13,443,local
2026-05-21 14:00:00,admin3,10.0.0.50,exito,14,443,local
2026-05-21 15:00:00,admin3,10.0.0.50,exito,15,443,local
